tool,category,priority,deployment,open_source,ocr_docs,ocr_pdf,fulltext,crm,tasks,invoicing,goBD_export,email_imap,local_ai,phone_agent,mobile,offline,multi_tenant,api_integrations,price_base_eur,price_pro_eur,price_enterprise,dsgvo,gobd,data_location,source_url,snapshot_date,notes
Paperless-ngx,DMS,high,local,yes,yes,yes,yes,,,,,,,,,yes,no,limited,0,0,0,partial,no,local,https://github.com/paperless-ngx/paperless-ngx,2026-02-18,baseline row
Mayan EDMS,DMS,medium,self_hosted,yes,,,,,,,,,,,,,,,,,,,,,https://www.mayan-edms.com,2026-02-18,
Nextcloud+FTS,DMS,medium,self_hosted,yes,,,,,,,,,,,,,,,,,,,,,https://nextcloud.com,2026-02-18,
Vikunja,Tasks/CRM,medium,self_hosted,yes,,,,,,,,,,,,,,,,,,,,,https://vikunja.io,2026-02-18,
ClickUp,Tasks/CRM,high,cloud,no,,,,,,,,,,,,no,yes,,,,,,,,https://clickup.com,2026-02-18,
Monday.com,Tasks/CRM,medium,cloud,no,,,,,,,,,,,,,,,,,,,,,https://monday.com,2026-02-18,
SuiteCRM,CRM,medium,self_hosted,yes,,,,,,,,,,,,,,,,,,,,,https://suitecrm.com,2026-02-18,
Pipedrive,CRM,high,cloud,no,,,,,,,,,,,,no,yes,,,,,,,,https://www.pipedrive.com,2026-02-18,
InvoiceNinja,Invoicing,high,self_hosted,yes,,,,,,,,,,,,yes,no,,,,,,,,https://www.invoiceninja.com,2026-02-18,
Lexoffice,Invoicing,high,cloud,no,,,,,,,,,,,,no,yes,,,,,,,,https://www.lexoffice.de,2026-02-18,
sevDesk,Invoicing,medium,cloud,no,,,,,,,,,,,,,,,,,,,,,https://sevdesk.de,2026-02-18,
Ollama+OpenWebUI,AI local,high,local,yes,,,,,,,,,,,,yes,no,,,,,,,,https://ollama.com,2026-02-18,
Vapi.ai,Phone AI,high,cloud,no,,,,,,,,,,,,no,yes,,,,,,,,https://vapi.ai,2026-02-18,
Synthflow,Phone AI,medium,cloud,no,,,,,,,,,,,,,,,,,,,,,https://www.synthflow.ai,2026-02-18,
